time (s),B_wave,Magnitude
4.700286,0.015358741368023454,0.31624368
4.7003145,-0.007174675612639569,0.3186131
4.7003427,-0.0262613900242792,0.31972334
4.7003713,-0.040959702455792224,0.31697035
4.7004,-0.04711348095223267,0.3101368
4.700428,-0.04458932250126402,0.30462644
4.7004566,-0.03579782027297307,0.30043676
4.7004857,-0.019471257934256303,0.29451075
4.7005143,0.0027371095072715734,0.28838596
4.700543,0.026687264459803073,0.28514922
4.7005715,0.050665113911959825,0.28439707
4.7006,0.07379969497643946,0.28447992
4.7006288,0.09211660173225564,0.28207505
4.700657,0.10371449388075521,0.27680418
4.700685,0.10738902322096933,0.2697914
4.7007136,0.10130017424744187,0.26081693
4.7007427,0.08673520506070542,0.2484207
4.7007713,0.06670923717417454,0.23706715
4.7008,0.0407955214542885,0.2330853
4.7008286,0.011220160406831936,0.23731439
4.700857,-0.01664279338984076,0.24683605
4.700886,-0.04338765584019755,0.26415396
4.700914,-0.0670550128222146,0.28717518
4.7009425,-0.08218490410838752,0.31279024
4.7009716,-0.08852115112605674,0.3384014
4.701,-0.08664357894448871,0.36072063
4.7010283,-0.07495701740505989,0.37959257
4.701057,-0.05721109102012534,0.39402235
4.7010856,-0.03771270044999056,0.40181792
4.701114,-0.014997092038535165,0.40538004
4.701143,0.008078991690407045,0.40645555
4.701171,0.02789201664936869,0.40570974
4.7011995,0.0426922590765324,0.40610862
4.7012286,0.051216386448840856,0.40455478
4.701257,0.05288405237825494,0.40262994
4.701286,0.045929177918307085,0.40548697
4.7013144,0.03054104239412747,0.40823248
4.701343,0.012276116702730558,0.40777135
4.701371,-0.00965809759476488,0.40537536
4.7013993,-0.03572248341347417,0.39940014
4.701428,-0.05823578085747583,0.39040905
4.7014565,-0.07403808241106002,0.37539
4.7014856,-0.08580367355904406,0.3525706
4.7015142,-0.0901735619320736,0.3261715
4.701543,-0.08566117632447301,0.29901746
4.7015715,-0.07288791916559212,0.27025816
4.7016,-0.05215384415974467,0.24218066
4.7016287,-0.026277033421130875,0.21903148
4.701657,0.0013201615473858175,0.20515637
